time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
288.86,,,9.80465759,9.910606403,,9.978217092,10.04052919,
288.87,,,9.801438099,9.908527768,,9.976883082,10.03989348,
288.88,,,9.798221822,9.906450628,,9.975549767,10.03925796,
288.89,,,9.795008742,9.904374977,,9.974217147,10.03862262,
288.9,,,9.791798848,9.90230081,,9.972885217,10.03798746,
288.91,,,9.788592124,9.900228122,,9.971553976,10.03735248,
288.92,,,9.785388558,9.898156905,,9.970223422,10.03671769,
288.93,,,9.782188136,9.896087155,,9.968893551,10.03608308,
288.94,,,9.778990846,9.894018866,,9.967564362,10.03544864,
288.95,,,9.775796673,9.891952033,,9.966235852,10.03481439,
288.96,,,9.772605607,9.88988665,,9.964908019,10.03418031,
288.97,,,9.769417633,9.887822713,,9.96358086,10.03354642,
288.98,,,9.766232741,9.885760216,,9.962254373,10.0329127,
288.99,,,9.763050918,9.883699153,,9.960928557,10.03227916,
289,,,9.759872153,9.881639521,,9.959603409,10.03164579,
289.01,,,9.756696433,9.879581314,,9.958278926,10.03101261,
289.02,,,9.753523747,9.877524528,,9.956955108,10.03037959,
289.03,,,9.750354085,9.875469157,,9.955631951,10.02974676,
289.04,,,9.747187434,9.873415198,,9.954309454,10.02911409,
289.05,,,9.744023785,9.871362645,,9.952987614,10.02848161,
289.06,,,9.740863125,9.869311494,,9.951666431,10.02784929,
289.07,,,9.737705446,9.86726174,,9.950345901,10.02721715,
289.08,,,9.734550736,9.86521338,,9.949026024,10.02658518,
289.09,,,9.731398985,9.863166409,,9.947706797,10.02595339,
289.1,,,9.728250183,9.861120822,,9.946388218,10.02532176,
289.11,,,9.725104321,9.859076616,,9.945070285,10.02469031,
289.12,,,9.721961387,9.857033787,,9.943752998,10.02405903,
289.13,,,9.718821374,9.85499233,,9.942436353,10.02342792,
289.14,,,9.71568427,9.852952241,,9.94112035,10.02279698,
289.15,,,9.712550068,9.850913517,,9.939804987,10.02216621,
289.16,,,9.709418757,9.848876154,,9.938490262,10.02153561,
289.17,,,9.706290329,9.846840148,,9.937176173,10.02090518,
289.18,,,9.703164774,9.844805495,,9.93586272,10.02027491,
289.19,,,9.700042085,9.842772192,,9.934549899,10.01964482,
289.2,,,9.696922251,9.840740235,,9.93323771,10.01901489,
289.21,,,9.693805265,9.83870962,,9.931926152,10.01838513,
289.22,,,9.690691119,9.836680345,,9.930615222,10.01775554,
289.23,,,9.687579803,9.834652404,,9.929304919,10.01712611,
289.24,,,9.68447131,9.832625796,,9.927995243,10.01649685,
289.25,,,9.681365632,9.830600517,,9.92668619,10.01586776,
289.26,,,9.67826276,9.828576563,,9.925377761,10.01523883,
289.27,,,9.675162687,9.826553931,,9.924069953,10.01461007,
289.28,,,9.672065405,9.824532618,,9.922762765,10.01398147,
289.29,,,9.668970907,9.822512622,,9.921456196,10.01335304,
289.3,,,9.665879184,9.820493937,,9.920150245,10.01272477,
289.31,,,9.66279023,9.818476563,,9.91884491,10.01209666,
