time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
0.69,5.494256137,5.468567984,0.120799129,0.142791077,0.05614917,0.120799129
0.7,5.494162555,5.46810315,0.122503722,0.144788071,0.056946008,0.122503722
0.71,5.494068597,5.46763796,0.124206644,0.146782466,0.057742231,0.124206644
0.72,5.493974261,5.467172413,0.125907884,0.148774248,0.058537836,0.125907884
0.73,5.493879545,5.466706507,0.127607434,0.150763405,0.059332818,0.127607434
0.74,5.493784446,5.466240238,0.129305285,0.152749926,0.060127174,0.129305285
0.75,5.493688964,5.465773606,0.13100143,0.154733799,0.060920903,0.13100143
0.76,5.493593096,5.465306608,0.132695859,0.156715012,0.061713999,0.132695859
0.77,5.49349684,5.464839242,0.134388566,0.158693555,0.062506461,0.134388566
0.78,5.493400195,5.464371507,0.136079542,0.160669417,0.063298285,0.136079542
0.79,5.493303158,5.463903401,0.13776878,0.162642589,0.064089469,0.13776878
0.8,5.493205729,5.463434921,0.139456273,0.164613059,0.06488001,0.139456273
0.81,5.493107905,5.462966066,0.141142013,0.166580819,0.065669904,0.141142013
0.82,5.493009686,5.462496836,0.142825995,0.168545859,0.06645915,0.142825995
0.83,5.492911069,5.462027227,0.14450821,0.170508171,0.067247744,0.14450821
0.84,5.492812053,5.461557238,0.146188652,0.172467746,0.068035685,0.146188652
0.85,5.492712636,5.461086869,0.147867316,0.174424574,0.06882297,0.147867316
0.86,5.492612818,5.460616116,0.149544195,0.176378649,0.069609595,0.149544195
0.87,5.492512596,5.46014498,0.151219283,0.178329963,0.07039556,0.151219283
0.88,5.49241197,5.459673459,0.152892574,0.180278507,0.071180862,0.152892574
0.89,5.492310938,5.459201551,0.154564062,0.182224275,0.071965498,0.154564062
0.9,5.492209498,5.458729254,0.156233742,0.18416726,0.072749467,0.156233742
0.91,5.492107651,5.458256569,0.157901609,0.186107454,0.073532766,0.157901609
0.92,5.492005393,5.457783493,0.159567657,0.188044852,0.074315393,0.159567657
0.93,5.491902726,5.457310026,0.161231882,0.189979447,0.075097347,0.161231882
0.94,5.491799646,5.456836166,0.162894278,0.191911233,0.075878625,0.162894278
0.95,5.491696153,5.456361913,0.164554841,0.193840205,0.076659226,0.164554841
0.96,5.491592247,5.455887264,0.166213566,0.195766356,0.077439148,0.166213566
0.97,5.491487925,5.45541222,0.16787045,0.197689681,0.078218389,0.16787045
0.98,5.491383188,5.454936779,0.169525486,0.199610176,0.078996947,0.169525486
0.99,5.491278034,5.454460941,0.171178672,0.201527835,0.07977482,0.171178672
1,5.491172462,5.453984703,0.172830003,0.203442653,0.080552008,0.172830003
1.01,5.491066471,5.453508067,0.174479475,0.205354627,0.081328508,0.174479475
1.02,5.490960061,5.45303103,0.176127085,0.207263752,0.082104319,0.176127085
1.03,5.49085323,5.452553592,0.177772829,0.209170023,0.08287944,0.177772829
1.04,5.490745978,5.452075752,0.179416704,0.211073436,0.083653868,0.179416704
1.05,5.490638305,5.45159751,0.181058705,0.212973989,0.084427604,0.181058705
1.06,5.490530208,5.451118864,0.18269883,0.214871677,0.085200644,0.18269883
1.07,5.490421688,5.450639815,0.184337075,0.216766498,0.085972989,0.184337075
1.08,5.490312744,5.450160361,0.185973438,0.218658447,0.086744637,0.185973438
1.09,5.490203375,5.449680501,0.187607915,0.220547521,0.087515586,0.187607915
1.1,5.49009358,5.449200236,0.189240503,0.222433719,0.088285835,0.189240503
1.11,5.489983359,5.448719565,0.190871201,0.224317036,0.089055383,0.190871201
1.12,5.489872712,5.448238486,0.192500004,0.226197472,0.08982423,0.192500004
1.13,5.489761637,5.447757001,0.194126911,0.228075022,0.090592374,0.194126911
1.14,5.489650134,5.447275107,0.195751919,0.229949685,0.091359813,0.195751919
1.15,5.489538203,5.446792805,0.197375025,0.23182146,0.092126548,0.197375025
1.16,5.489425843,5.446310094,0.198996228,0.233690342,0.092892576,0.198996228
1.17,5.489313054,5.445826974,0.200615525,0.235556332,0.093657898,0.200615525
1.18,5.489199834,5.445343445,0.202232914,0.237419428,0.094422511,0.202232914
1.19,5.489086184,5.444859505,0.203848393,0.239279627,0.095186416,0.203848393
1.2,5.488972104,5.444375156,0.20546196,0.241136928,0.095949612,0.20546196
1.21,5.488857592,5.443890396,0.207073614,0.24299133,0.096712097,0.207073614
1.22,5.488742648,5.443405225,0.208683352,0.244842832,0.097473871,0.208683352
1.23,5.488627273,5.442919642,0.210291172,0.246691434,0.098234933,0.210291172
1.24,5.488511465,5.442433649,0.211897074,0.248537132,0.098995283,0.211897074
1.25,5.488395225,5.441947244,0.213501056,0.250379929,0.099754919,0.213501056
1.26,5.488278551,5.441460426,0.215103116,0.252219821,0.100513842,0.215103116
1.27,5.488161444,5.440973197,0.216703253,0.254056809,0.101272049,0.216703253
1.28,5.488043904,5.440485556,0.218301465,0.255890893,0.102029542,0.218301465
1.29,5.487925929,5.439997502,0.219897752,0.257722071,0.102786319,0.219897752
1.3,5.487807521,5.439509036,0.221492111,0.259550345,0.103542379,0.221492111
1.31,5.487688678,5.439020157,0.223084543,0.261375713,0.104297723,0.223084543
1.32,5.4875694,5.438530866,0.224675046,0.263198175,0.105052349,0.224675046
1.33,5.487449687,5.438041162,0.226263619,0.265017732,0.105806257,0.226263619
1.34,5.48732954,5.437551044,0.227850261,0.266834383,0.106559447,0.227850261
1.35,5.487208957,5.437060514,0.229434971,0.26864813,0.107311918,0.229434971
1.36,5.487087939,5.436569571,0.231017749,0.270458971,0.10806367,0.231017749
1.37,5.486966485,5.436078215,0.232598593,0.272266909,0.108814703,0.232598593
1.38,5.486844595,5.435586446,0.234177504,0.274071942,0.109565015,0.234177504
1.39,5.48672227,5.435094264,0.23575448,0.275874072,0.110314607,0.23575448
1.4,5.486599509,5.434601669,0.23732952,0.2776733,0.111063479,0.23732952
1.41,5.486476311,5.434108661,0.238902626,0.279469625,0.111811629,0.238902626
1.42,5.486352678,5.43361524,0.240473795,0.28126305,0.112559059,0.240473795
1.43,5.486228608,5.433121407,0.242043027,0.283053574,0.113305766,0.242043027
1.44,5.486104102,5.43262716,0.243610323,0.284841199,0.114051752,0.243610323
1.45,5.48597916,5.432132501,0.245175682,0.286625926,0.114797016,0.245175682
1.46,5.485853781,5.43163743,0.246739104,0.288407756,0.115541558,0.246739104
1.47,5.485727966,5.431141946,0.248300587,0.290186691,0.116285377,0.248300587
1.48,5.485601714,5.430646049,0.249860134,0.29196273,0.117028474,0.249860134
1.49,5.485475026,5.430149741,0.251417742,0.293735876,0.117770847,0.251417742
1.5,5.485347901,5.429653021,0.252973412,0.295506131,0.118512498,0.252973412
1.51,5.48522034,5.429155888,0.254527145,0.297273495,0.119253426,0.254527145
1.52,5.485092342,5.428658344,0.256078939,0.29903797,0.119993631,0.256078939
1.53,5.484963908,5.428160389,0.257628796,0.300799557,0.120733112,0.257628796
1.54,5.484835038,5.427662022,0.259176715,0.302558259,0.12147187,0.259176715
1.55,5.484705731,5.427163245,0.260722696,0.304314077,0.122209904,0.260722696
1.56,5.484575988,5.426664056,0.26226674,0.306067013,0.122947215,0.26226674
1.57,5.484445809,5.426164457,0.263808846,0.307817068,0.123683802,0.263808846
1.58,5.484315193,5.425664447,0.265349016,0.309564245,0.124419666,0.265349016
1.59,5.484184142,5.425164028,0.266887249,0.311308545,0.125154806,0.266887249
1.6,5.484052655,5.424663198,0.268423545,0.31304997,0.125889222,0.268423545
1.61,5.483920731,5.424161959,0.269957906,0.314788523,0.126622915,0.269957906
1.62,5.483788372,5.42366031,0.271490331,0.316524205,0.127355884,0.271490331
1.63,5.483655577,5.423158253,0.273020821,0.318257018,0.128088129,0.273020821
1.64,5.483522347,5.422655787,0.274549376,0.319986966,0.128819651,0.274549376
1.65,5.483388681,5.422152912,0.276075996,0.321714048,0.12955045,0.276075996
1.66,5.48325458,5.421649629,0.277600683,0.323438269,0.130280525,0.277600683
1.67,5.483120044,5.421145938,0.279123437,0.325159631,0.131009877,0.279123437
1.68,5.482985073,5.42064184,0.280644258,0.326878135,0.131738506,0.280644258
1.69,5.482849667,5.420137334,0.282163148,0.328593784,0.132466411,0.282163148
1.7,5.482713827,5.419632422,0.283680106,0.330306581,0.133193593,0.283680106
1.71,5.482577552,5.419127103,0.285195133,0.332016527,0.133920053,0.285195133
1.72,5.482440842,5.418621378,0.28670823,0.333723626,0.13464579,0.28670823
1.73,5.482303699,5.418115247,0.288219398,0.33542788,0.135370804,0.288219398
1.74,5.482166122,5.417608711,0.289728638,0.337129292,0.136095096,0.289728638
1.75,5.482028111,5.41710177,0.291235949,0.338827863,0.136818665,0.291235949
1.76,5.481889666,5.416594424,0.292741334,0.340523597,0.137541512,0.292741334
1.77,5.481750788,5.416086673,0.294244793,0.342216497,0.138263638,0.294244793
1.78,5.481611477,5.415578519,0.295746326,0.343906565,0.138985041,0.295746326
1.79,5.481471733,5.415069962,0.297245935,0.345593803,0.139705723,0.297245935
1.8,5.481331556,5.414561001,0.29874362,0.347278216,0.140425684,0.29874362
1.81,5.481190947,5.414051638,0.300239383,0.348959804,0.141144924,0.300239383
1.82,5.481049906,5.413541872,0.301733224,0.350638572,0.141863442,0.301733224
1.83,5.480908433,5.413031704,0.303225145,0.352314522,0.14258124,0.303225145
1.84,5.480766528,5.412521136,0.304715145,0.353987656,0.143298318,0.304715145
1.85,5.480624191,5.412010166,0.306203227,0.355657979,0.144014675,0.306203227
1.86,5.480481424,5.411498795,0.307689391,0.357325492,0.144730313,0.307689391
1.87,5.480338225,5.410987025,0.309173639,0.358990199,0.14544523,0.309173639
1.88,5.480194596,5.410474855,0.310655971,0.360652103,0.146159429,0.310655971
1.89,5.480050536,5.409962285,0.312136388,0.362311207,0.146872908,0.312136388
1.9,5.479906047,5.409449317,0.313614891,0.363967513,0.147585668,0.313614891
1.91,5.479761127,5.408935951,0.315091483,0.365621025,0.14829771,0.315091483
1.92,5.479615778,5.408422186,0.316566163,0.367271745,0.149009033,0.316566163
1.93,5.479469999,5.407908025,0.318038932,0.368919678,0.149719639,0.318038932
1.94,5.479323791,5.407393466,0.319509793,0.370564826,0.150429527,0.319509793
1.95,5.479177155,5.406878512,0.320978746,0.372207192,0.151138697,0.320978746
1.96,5.47903009,5.406363161,0.322445793,0.373846779,0.151847151,0.322445793
1.97,5.478882597,5.405847415,0.323910934,0.375483591,0.152554888,0.323910934
1.98,5.478734677,5.405331273,0.325374171,0.377117631,0.153261908,0.325374171
1.99,5.478586329,5.404814738,0.326835505,0.378748902,0.153968213,0.326835505
2,5.478437553,5.404297808,0.328294937,0.380377406,0.154673802,0.328294937
2.01,5.478288351,5.403780485,0.329752469,0.382003149,0.155378675,0.329752469
2.02,5.478138722,5.403262769,0.331208101,0.383626132,0.156082834,0.331208101
2.03,5.477988667,5.402744661,0.332661836,0.385246358,0.156786278,0.332661836
2.04,5.477838186,5.402226161,0.334113674,0.386863833,0.157489007,0.334113674
2.05,5.477687279,5.401707269,0.335563617,0.388478557,0.158191023,0.335563617
2.06,5.477535947,5.401187986,0.337011666,0.390090536,0.158892326,0.337011666
2.07,5.47738419,5.400668313,0.338457822,0.391699772,0.159592915,0.338457822
2.08,5.477232009,5.40014825,0.339902087,0.393306268,0.160292791,0.339902087
2.09,5.477079403,5.399627798,0.341344462,0.394910029,0.160991955,0.341344462
2.1,5.476926373,5.399106957,0.342784948,0.396511057,0.161690407,0.342784948
2.11,5.47677292,5.398585728,0.344223548,0.398109355,0.162388148,0.344223548
2.12,5.476619043,5.398064111,0.345660261,0.399704928,0.163085177,0.345660261
2.13,5.476464744,5.397542106,0.347095091,0.401297779,0.163781496,0.347095091
2.14,5.476310022,5.397019715,0.348528037,0.40288791,0.164477104,0.348528037
2.15,5.476154878,5.396496938,0.349959102,0.404475326,0.165172002,0.349959102
2.16,5.475999312,5.395973776,0.351388286,0.40606003,0.165866191,0.351388286
2.17,5.475843324,5.395450228,0.352815592,0.407642025,0.166559671,0.352815592
2.18,5.475686916,5.394926296,0.354241021,0.409221315,0.167252442,0.354241021
2.19,5.475530086,5.39440198,0.355664574,0.410797903,0.167944505,0.355664574
2.2,5.475372837,5.39387728,0.357086253,0.412371794,0.168635859,0.357086253
2.21,5.475215167,5.393352198,0.358506059,0.413942989,0.169326507,0.358506059
2.22,5.475057078,5.392826734,0.359923994,0.415511494,0.170016447,0.359923994
2.23,5.474898569,5.392300887,0.361340059,0.41707731,0.170705681,0.361340059
2.24,5.474739642,5.39177466,0.362754255,0.418640443,0.171394209,0.362754255
2.25,5.474580296,5.391248052,0.364166585,0.420200895,0.172082032,0.364166585
2.26,5.474420531,5.390721064,0.36557705,0.42175867,0.172769149,0.36557705
2.27,5.474260349,5.390193697,0.36698565,0.423313772,0.173455561,0.36698565
2.28,5.47409975,5.38966595,0.368392389,0.424866204,0.174141269,0.368392389
2.29,5.473938734,5.389137826,0.369797267,0.426415969,0.174826273,0.369797267
2.3,5.473777301,5.388609323,0.371200285,0.427963072,0.175510574,0.371200285
2.31,5.473615451,5.388080444,0.372601446,0.429507515,0.176194172,0.372601446
2.32,5.473453186,5.387551188,0.374000751,0.431049303,0.176877068,0.374000751
2.33,5.473290506,5.387021555,0.375398202,0.432588439,0.177559261,0.375398202
2.34,5.47312741,5.386491548,0.376793799,0.434124926,0.178240754,0.376793799
2.35,5.4729639,5.385961165,0.378187545,0.435658769,0.178921545,0.378187545
2.36,5.472799975,5.385430409,0.379579442,0.43718997,0.179601635,0.379579442
2.37,5.472635637,5.384899278,0.38096949,0.438718534,0.180281025,0.38096949
2.38,5.472470885,5.384367774,0.382357692,0.440244463,0.180959716,0.382357692
2.39,5.47230572,5.383835898,0.383744048,0.441767762,0.181637708,0.383744048
2.4,5.472140142,5.38330365,0.385128562,0.443288435,0.182315001,0.385128562
2.41,5.471974152,5.382771031,0.386511233,0.444806484,0.182991596,0.386511233
2.42,5.47180775,5.382238041,0.387892064,0.446321914,0.183667493,0.387892064
2.43,5.471640936,5.38170468,0.389271057,0.447834728,0.184342693,0.389271057
2.44,5.471473712,5.38117095,0.390648213,0.44934493,0.185017196,0.390648213
2.45,5.471306076,5.380636851,0.392023533,0.450852523,0.185691004,0.392023533
2.46,5.471138031,5.380102384,0.39339702,0.452357511,0.186364115,0.39339702
2.47,5.470969575,5.379567548,0.394768674,0.453859898,0.187036531,0.394768674
