time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
0.69,10.98767194,10.93625592,10.95233,0.287577826,0.113060807,0.243324385
0.7,10.98745173,10.93529218,10.95157903,0.291602011,0.11466563,0.246760826
0.71,10.98723002,10.93432697,10.95082592,0.295621044,0.116269226,0.250194007
0.72,10.98700679,10.9333603,10.95007064,0.2996349,0.117871588,0.253623908
0.73,10.98678204,10.93239215,10.9493132,0.303643555,0.11947271,0.257050513
0.74,10.98655576,10.93142252,10.94855359,0.307646985,0.121072584,0.260473805
0.75,10.98632794,10.9304514,10.94779179,0.311645168,0.122671205,0.263893769
0.76,10.98609858,10.92947878,10.9470278,0.31563808,0.124268567,0.267310387
0.77,10.98586766,10.92850466,10.94626162,0.319625701,0.125864663,0.270723645
0.78,10.98563519,10.92752904,10.94549323,0.32360801,0.127459488,0.274133529
0.79,10.98540115,10.9265519,10.94472262,0.327584987,0.129053036,0.277540022
0.8,10.98516554,10.92557324,10.9439498,0.331556612,0.130645301,0.280943112
0.81,10.98492835,10.92459306,10.94317475,0.335522866,0.132236278,0.284342785
0.82,10.98468957,10.92361135,10.94239747,0.339483732,0.133825962,0.287739026
0.83,10.98444921,10.92262811,10.94161795,0.343439191,0.135414347,0.291131823
0.84,10.98420725,10.92164333,10.94083619,0.347389226,0.137001429,0.294521164
0.85,10.98396368,10.920657,10.94005218,0.351333821,0.138587202,0.297907036
0.86,10.98371851,10.91966913,10.93926592,0.35527296,0.140171662,0.301289427
0.87,10.98347173,10.91867971,10.9384774,0.359206627,0.141754805,0.304668325
0.88,10.98322333,10.91768873,10.93768661,0.363134809,0.143336625,0.30804372
0.89,10.98297331,10.91669619,10.93689356,0.367057489,0.144917118,0.3114156
0.9,10.98272166,10.91570208,10.93609824,0.370974655,0.146496281,0.314783954
0.91,10.98246838,10.91470641,10.93530064,0.374886293,0.148074108,0.318148773
0.92,10.98221346,10.91370917,10.93450076,0.378792391,0.149650597,0.321510046
0.93,10.9819569,10.91271036,10.9336986,0.382692935,0.151225742,0.324867763
0.94,10.98169869,10.91170997,10.93289415,0.386587915,0.152799541,0.328221916
0.95,10.98143884,10.91070801,10.93208741,0.390477319,0.154371989,0.331572494
0.96,10.98117733,10.90970446,10.93127838,0.394361135,0.155943083,0.334919489
0.97,10.98091417,10.90869932,10.93046706,0.398239353,0.157512819,0.338262893
0.98,10.98064934,10.9076926,10.92965344,0.402111964,0.159081195,0.341602697
0.99,10.98038285,10.90668429,10.92883752,0.405978957,0.160648206,0.344938892
1,10.9801147,10.90567439,10.9280193,0.409840323,0.162213849,0.348271472
1.01,10.97984487,10.90466289,10.92719878,0.413696053,0.163778122,0.351600428
1.02,10.97957337,10.9036498,10.92637595,0.417546139,0.165341021,0.354925754
1.03,10.97930019,10.90263511,10.92555082,0.421390573,0.166902544,0.358247441
1.04,10.97902532,10.90161883,10.92472338,0.425229346,0.168462687,0.361565484
1.05,10.97874878,10.90060094,10.92389363,0.429062452,0.170021448,0.364879876
1.06,10.97847055,10.89958145,10.92306157,0.432889884,0.171578824,0.36819061
1.07,10.97819063,10.89856035,10.9222272,0.436711634,0.173134812,0.37149768
1.08,10.97790902,10.89753766,10.92139052,0.440527697,0.174689411,0.37480108
1.09,10.97762571,10.89651335,10.92055152,0.444338067,0.176242617,0.378100805
1.1,10.97734071,10.89548744,10.91971022,0.448142738,0.177794428,0.381396848
1.11,10.97705401,10.89445993,10.9188666,0.451941704,0.179344843,0.384689205
1.12,10.97676561,10.8934308,10.91802067,0.45573496,0.180893858,0.38797787
1.13,10.9764755,10.89240006,10.91717242,0.459522503,0.182441472,0.391262838
1.14,10.97618369,10.89136772,10.91632186,0.463304327,0.183987682,0.394544106
1.15,10.97589017,10.89033376,10.91546899,0.467080428,0.185532487,0.397821667
1.16,10.97559495,10.8892982,10.91461381,0.470850802,0.187075884,0.401095518
1.17,10.97529801,10.88826102,10.91375632,0.474615447,0.188617873,0.404365654
1.18,10.97499936,10.88722223,10.91289651,0.478374358,0.19015845,0.407632072
1.19,10.974699,10.88618183,10.9120344,0.482127532,0.191697615,0.410894767
1.2,10.97439692,10.88513982,10.91116997,0.485874968,0.193235365,0.414153736
1.21,10.97409313,10.8840962,10.91030324,0.489616661,0.194771699,0.417408975
1.22,10.97378762,10.88305097,10.9094342,0.493352611,0.196306616,0.420660481
1.23,10.97348039,10.88200412,10.90856285,0.497082814,0.197840114,0.423908251
1.24,10.97317143,10.88095566,10.9076892,0.50080727,0.199372191,0.427152281
1.25,10.97286076,10.8799056,10.90681324,0.504525976,0.200902846,0.430392569
1.26,10.97254836,10.87885392,10.90593499,0.508238932,0.202432079,0.433629112
1.27,10.97223424,10.87780063,10.90505443,0.511946135,0.203959887,0.436861907
1.28,10.97191839,10.87674573,10.90417157,0.515647586,0.205486269,0.440090952
1.29,10.97160082,10.87568923,10.90328642,0.519343284,0.207011225,0.443316244
1.3,10.97128152,10.87463111,10.90239897,0.523033227,0.208534752,0.446537781
1.31,10.9709605,10.87357139,10.90150923,0.526717417,0.210056851,0.449755561
1.32,10.97063775,10.87251007,10.90061719,0.530395852,0.21157752,0.452969582
1.33,10.97031327,10.87144713,10.89972287,0.534068533,0.213096758,0.456179842
1.34,10.96998706,10.87038259,10.89882626,0.537735461,0.214614564,0.45938634
1.35,10.96965912,10.86931645,10.89792737,0.541396635,0.216130938,0.462589074
1.36,10.96932945,10.86824871,10.8970262,0.545052056,0.217645878,0.465788042
