time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H1_I_opt,H1_I_min,H1_I_max,H2_G_opt,H2_G_min,H2_G_max,H2_I_opt,H2_I_min,H2_I_max,Glycemic_level
0.35,,5.490342001,5.490342001,5.494151676,0.103247726,0.102474752,0.12852389,5.490181259,5.490192627,5.492283619,0.10746526,0.108051615,0.126241973,
0.36,,5.490065308,5.490065308,5.493982933,0.106188004,0.105391364,0.132179846,5.489900206,5.489911495,5.492062036,0.110525145,0.111127293,0.129832946,
0.37,,5.489788547,5.489788547,5.493814059,0.109127537,0.10830711,0.135834559,5.489619102,5.489630282,5.49184036,0.113584217,0.114202084,0.133422691,
0.38,,5.489511716,5.489511716,5.493645051,0.112066312,0.111221974,0.139488007,5.489337946,5.489348984,5.49161859,0.116642461,0.117275971,0.137011186,
0.39,,5.489234812,5.489234812,5.493475908,0.115004315,0.11413594,0.143140168,5.489056736,5.489067601,5.491396723,0.119699863,0.120348938,0.140598409,
0.4,,5.488957835,5.488957835,5.493306626,0.117941533,0.117048994,0.14679102,5.48877547,5.48878613,5.491174757,0.122756407,0.123420971,0.144184338,
0.41,,5.488680782,5.488680782,5.493137203,0.120877952,0.11996112,0.150440542,5.488494148,5.488504569,5.490952691,0.12581208,0.126492052,0.147768953,
0.42,,5.488403652,5.488403652,5.492967637,0.123813561,0.122872304,0.154088712,5.488212768,5.488222917,5.490730523,0.128866867,0.129562168,0.151352232,
0.43,,5.488126444,5.488126444,5.492797925,0.126748346,0.12578253,0.157735511,5.487931329,5.487941171,5.49050825,0.131920756,0.132631304,0.154934155,
0.44,,5.487849156,5.487849156,5.492628066,0.129682294,0.128691786,0.161380918,5.487649829,5.487659331,5.490285872,0.134973732,0.135699444,0.158514702,
0.45,,5.487571786,5.487571786,5.492458057,0.132615395,0.131600057,0.165024913,5.487368267,5.487377393,5.490063387,0.138025783,0.138766575,0.162093854,
0.46,,5.487294333,5.487294333,5.492287895,0.135547636,0.134507329,0.168667477,5.487086642,5.487095358,5.489840792,0.141076895,0.141832683,0.165671592,
0.47,,5.487016795,5.487016795,5.49211758,0.138479006,0.137413589,0.172308591,5.486804953,5.486813222,5.489618086,0.144127057,0.144897754,0.169247897,
0.48,,5.486739171,5.486739171,5.491947108,0.141409494,0.140318825,0.175948238,5.486523199,5.486530985,5.489395268,0.147176255,0.147961774,0.17282275,
0.49,,5.48646146,5.48646146,5.491776478,0.144339088,0.143223022,0.179586398,5.486241378,5.486248644,5.489172336,0.150224479,0.151024732,0.176396135,
0.5,,5.48618366,5.48618366,5.491605688,0.147267777,0.14612617,0.183223053,5.48595949,5.485966199,5.488949289,0.153271715,0.154086613,0.179968032,
0.51,,5.48590577,5.48590577,5.491434735,0.150195551,0.149028256,0.186858188,5.485677532,5.485683647,5.488726124,0.156317953,0.157147405,0.183538426,
0.52,,5.485627789,5.485627789,5.491263619,0.153122399,0.151929267,0.190491783,5.485395505,5.485400988,5.488502841,0.15936318,0.160207096,0.187107299,
0.53,,5.485349714,5.485349714,5.491092337,0.156048311,0.154829192,0.194123823,5.485113408,5.485118219,5.488279438,0.162407387,0.163265675,0.190674635,
0.54,,5.485071547,5.485071547,5.490920887,0.158973277,0.157728019,0.197754292,5.484831238,5.48483534,5.488055914,0.165450561,0.166323128,0.194240417,
0.55,,5.484793283,5.484793283,5.490749267,0.161897287,0.160625738,0.201383173,5.484548995,5.484552349,5.487832267,0.168492692,0.169379445,0.197804631,
0.56,,5.484514924,5.484514924,5.490577476,0.164820332,0.163522338,0.205010451,5.484266679,5.484269245,5.487608496,0.17153377,0.172434614,0.201367259,
0.57,,5.484236467,5.484236467,5.490405513,0.167742402,0.166417806,0.20863611,5.483984287,5.483986027,5.4873846,0.174573784,0.175488624,0.204928288,
0.58,,5.483957912,5.483957912,5.490233375,0.170663487,0.169312134,0.212260135,5.48370182,5.483702692,5.487160577,0.177612724,0.178541465,0.208487702,
0.59,,5.483679256,5.483679256,5.49006106,0.173583579,0.17220531,0.215882512,5.483419276,5.483419241,5.486936426,0.180650581,0.181593124,0.212045487,
0.6,,5.4834005,5.4834005,5.489888568,0.176502668,0.175097325,0.219503225,5.483136655,5.483135671,5.486712146,0.183687344,0.184643593,0.215601629,
0.61,,5.483121642,5.483121642,5.489715897,0.179420747,0.177988167,0.223122262,5.482853955,5.482851982,5.486487736,0.186723004,0.187692861,0.219156113,
0.62,,5.482842681,5.482842681,5.489543045,0.182337805,0.180877829,0.226739608,5.482571176,5.482568172,5.486263195,0.189757552,0.190740917,0.222708926,
0.63,,5.482563617,5.482563617,5.489370011,0.185253836,0.183766299,0.230355249,5.482288317,5.48228424,5.48603852,0.192790978,0.193787752,0.226260055,
0.64,,5.482284447,5.482284447,5.489196793,0.18816883,0.186653569,0.233969172,5.482005377,5.482000185,5.485813713,0.195823274,0.196833356,0.229809487,
