Gmeasured_max_11mM,Gmeasured_min_11mM,Gmeasured_opt_11mM,Imeasured_max_11mM,Imeasured_min_11mM,Imeasured_opt_11mM,time,Gmeasured_max_5p5mM,Gmeasured_min_5p5mM,Gmeasured_opt_5p5mM,Imeasured_max_5p5mM,Imeasured_min_5p5mM,Imeasured_opt_5p5mM,Gmeasured_max_11mM_lowHC,Gmeasured_min_11mM_lowHC,Gmeasured_opt_11mM_lowHC,Gmeasured_max_5p5mM_lowHC,Gmeasured_min_5p5mM_lowHC,Gmeasured_opt_5p5mM_lowHC,Imeasured_max_11mM_lowHC,Imeasured_min_11mM_lowHC,Imeasured_opt_11mM_lowHC,Imeasured_max_5p5mM_lowHC,Imeasured_min_5p5mM_lowHC,Imeasured_opt_5p5mM_lowHC
13.31870961,8.99719888,12.16006572,66.19843801,47.34002737,59.65071427,0.5,5.499785149,5.484107176,5.496866081,29.62405117,14.52978761,21.12685398,10.99923605,10.96795475,10.99321662,5.499754754,5.484114829,5.496866079,83.58441046,83.20945748,53.3227029,36.11395247,36.03166573,21.12695071
13.31602576,8.996815263,12.15908058,71.56176262,50.9498497,64.19253641,0.55,5.499761468,5.482511814,5.496542277,32.56662264,15.97720771,23.22804508,10.9991266,10.96472458,10.99249726,5.499721909,5.482521775,5.496542274,90.81705286,90.37139557,57.53262481,39.7119189,39.60491826,23.22817382
13.31332979,8.996430035,12.15808411,76.91502729,54.55574556,68.72801893,0.6,5.499737246,5.480914614,5.496215885,35.50428965,17.42324694,25.32638811,10.99900895,10.96148739,10.99176769,5.49968701,5.480927267,5.49621588,98.04327434,97.5186972,61.73697919,43.30654975,43.17079027,25.32655521
13.31062108,8.996043101,12.15707573,82.25776747,58.15752964,73.25686513,0.65,5.499712456,5.479315452,5.495886784,38.43682872,18.86784052,27.42175154,10.99888273,10.95824277,10.99102745,5.499649963,5.479331194,5.495886778,105.2627716,104.6506966,65.93550539,46.89768892,46.72895112,27.42196393
13.30789905,8.995654375,12.15605497,87.58956687,61.75503495,77.77880811,0.7,5.499687078,5.477714213,5.495554868,41.36403985,20.3109299,29.51401694,10.99874759,10.95499034,10.99027611,5.499610685,5.47773346,5.495554859,112.4752709,111.7667986,70.12796906,50.48519514,50.27910519,29.51428216
13.30516321,8.995263779,12.15502136,92.91005279,65.34811118,82.29360792,0.75,5.499661092,5.476110796,5.495220041,44.28574405,21.75246224,31.60307767,10.99860324,10.95172978,10.98951331,5.499569104,5.476133976,5.495220028,119.6805252,118.8664716,74.31415956,54.06894082,53.82098846,31.60340379
13.30241311,8.994871245,12.15397452,98.21889185,68.93662301,86.8010489,0.8,5.499634481,5.474505109,5.494882216,47.20178077,23.19238993,33.68883802,10.99844942,10.9484608,10.98873871,5.499525151,5.474532664,5.494882198,126.8783116,125.9492416,78.49388768,57.64881112,57.35436546,33.68923372
13.29964833,8.99447671,12.15291409,103.5157861,72.52044875,91.3009374,0.85,5.499607228,5.472897072,5.494541316,50.1120064,24.63067004,35.77121217,10.99828589,10.94518314,10.98795203,5.499478769,5.472929453,5.494541293,134.0684288,133.0146863,82.66698362,61.22470252,60.87902654,35.77168666
13.29686853,8.994080121,12.15183978,108.8004698,76.099479,95.79309965,0.9,5.499579321,5.47128661,5.494197272,53.0162929,26.06726382,37.85012304,10.99811243,10.94189656,10.98715299,5.499429904,5.471324281,5.494197243,141.2506955,140.0624302,86.83329505,64.79652159,64.3947853,37.85068613
13.29407337,8.993681427,12.1507513,114.0727059,79.67361545,100.2773799,0.95,5.499550747,5.469673659,5.493850024,55.91452612,27.50213634,39.92550156,10.99792886,10.93860085,10.98634138,5.499378511,5.46971709,5.493849986,148.4249482,147.0921402,90.99268547,68.36418418,67.90147631,39.92616362
13.29126257,8.993280587,12.14964841,119.3322837,83.24276988,104.7536385,1,5.499521495,5.468058161,5.493499517,58.80660439,28.93525616,41.99728577,10.99773501,10.93529583,10.985517,5.499324547,5.468107831,5.493499469,155.5910396,154.1035211,95.14503271,71.92761457,71.39895312,41.99805773
13.28843587,8.992877561,12.14853091,124.5790158,86.80686313,109.2217506,1.05,5.499491555,5.466440065,5.493145702,61.69243732,30.36659497,44.06542014,10.99753073,10.93198134,10.98467965,5.499267976,5.466496459,5.493145641,162.7488368,161.0963122,99.29022746,75.48674454,74.88708636,44.0663135
13.28559305,8.992472315,12.14739861,129.8127362,90.3658243,113.6816047,1.1,5.49946092,5.464819323,5.492788535,64.57194485,31.79612729,46.12985503,10.9973159,10.92865722,10.98382919,5.499208766,5.464882935,5.492788461,169.8982203,168.0702838,103.4281721,79.04151274,78.36576208,46.13088186
13.28273391,8.992064819,12.14625135,135.0332981,93.91958987,118.1331011,1.15,5.499429581,5.463195896,5.492427981,67.44505613,33.22383017,48.19054613,10.99709039,10.92532335,10.98296549,5.499146889,5.463267221,5.49242789,177.040018,175.0252343,107.5587796,82.591864,81.83488028,48.19171906
13.27985827,8.991655047,12.14508899,140.2405719,97.46810309,122.5761511,1.2,5.499397532,5.461569747,5.492064003,70.31170866,34.64968301,50.24745395,10.99685411,10.92197961,10.98208842,5.499082319,5.461649289,5.492063893,184.173382,181.9609872,111.6819725,86.13774876,85.2943535,50.24878616
13.27696598,8.991242976,12.14391143,145.4344439,101.0113133,127.0106757,1.25,5.499364767,5.459940845,5.491696575,73.17184747,36.0736673,52.30054332,10.99660698,10.91862592,10.98119789,5.499015034,5.46002911,5.491696442,191.2981534,188.8773889,115.7976817,89.67912251,88.74410559,52.30204858
13.2740569,8.990828586,12.14271855,150.6148141,104.5491752,131.4366048,1.3,5.499331282,5.458309162,5.491325668,76.02542444,37.49576642,54.34978299,10.99634891,10.91526216,10.98029381,5.498945016,5.458406659,5.49132551,198.4142557,195.7743062,119.9058462,93.21594531,92.18407065,54.3514756
13.27113092,8.990411859,12.14151027,155.7815956,108.0816486,135.8538763,1.35,5.499297072,5.456674674,5.490951262,78.8723976,38.91596547,56.39514522,10.99607985,10.91188828,10.9793761,5.498872249,5.456781917,5.490951075,205.5216203,202.6516246,124.0064119,96.74818136,95.61419199,56.39704007
13.26818792,8.98999278,12.14028654,160.9347128,111.6086979,140.2624353,1.4,5.499262135,5.455037359,5.490573337,81.7127305,40.33425109,58.4366055,10.99579974,10.90850421,10.97844471,5.498796719,5.455154863,5.490573116,212.6201855,209.5092463,128.099331,100.2757986,99.03442124,58.438718
13.26522783,8.989571336,12.13904728,166.0741004,115.1302912,144.6622336,1.45,5.499226465,5.4533972,5.490191876,84.54639173,41.75061133,60.47414218,10.99550852,10.90510989,10.97749958,5.498718414,5.453525483,5.490191618,219.7098965,216.3470885,132.1845614,103.7987685,102.4447175,60.47648831
13.26225057,8.989147517,12.13779245,171.1997025,118.6464007,149.0532286,1.5,5.499190062,5.45175418,5.489806864,87.3733544,43.1650355,62.50773623,10.99520617,10.90170526,10.97654068,5.498637323,5.451893762,5.489806565,226.790704,223.1650821,136.2620663,107.3170653,105.8450468,62.51033254
13.25925608,8.988721313,12.13652203,176.3114718,122.1570016,153.4353834,1.55,5.499152924,5.450108286,5.489418291,90.19359574,44.57751405,64.53737098,10.99489264,10.8982903,10.97556798,5.498553439,5.450259689,5.489417944,233.862564,229.9631702,140.3318137,110.8306662,109.2353809,64.54023457
13.2562443,8.988292717,12.13523599,181.4093683,125.6620723,157.8086657,1.6,5.499115047,5.448459508,5.489026146,93.00709666,45.9880385,66.5630319,10.99456792,10.89486497,10.97458144,5.498466755,5.448623253,5.489025746,240.9254375,236.741307,144.3937755,114.339551,112.6156975,66.5661804
13.25321518,8.987861723,12.13393431,186.493359,129.1615938,162.1730476,1.65,5.499076432,5.446807836,5.48863042,95.8138414,47.39660129,68.58470637,10.99423199,10.89142924,10.97358107,5.498377267,5.446984447,5.488629963,247.9792897,243.4994566,148.4479277,117.8437016,115.985979,68.58815798
13.25016871,8.987428327,12.13261699,191.5634173,132.6555496,166.5285051,1.7,5.499037077,5.445153261,5.488231108,98.61381721,48.80319569,70.60238351,10.99388482,10.88798309,10.97256684,5.498284968,5.445343264,5.488230586,255.0240896,250.2375921,152.4942497,121.343102,119.3462122,70.60615696
13.24710484,8.986992524,12.13128402,196.6195218,136.1439254,170.8750178,1.75,5.498996982,5.443495779,5.487828203,101.4070141,50.20781577,72.616054,10.99352641,10.8845265,10.97153875,5.498189858,5.443699698,5.487827611,262.0598099,256.9556948,156.5327238,124.8377381,122.6963882,72.6201686
13.24402356,8.986554312,12.12993542,201.6616564,139.6267089,175.2125686,1.8,5.498956146,5.441835385,5.487421704,104.1934244,51.61045628,74.62570997,10.99315675,10.88105946,10.97049681,5.498091935,5.442053745,5.487421033,269.0864263,263.6537531,160.5633355,128.3275974,126.0365014,74.63018554
13.24092485,8.98611369,12.12857119,206.6898093,143.1038896,179.5411431,1.85,5.49891457,5.440172075,5.487011607,106.9730428,53.0111126,76.6313448,10.99277584,10.87758197,10.96944102,5.497991196,5.440405402,5.487010851,276.1039177,270.331762,164.5860725,131.812669,129.3665498,76.63620173
13.23780872,8.985670657,12.12719135,211.7039732,146.5754588,183.8607299,1.9,5.498872252,5.438505848,5.48659791,109.745866,54.40978067,78.63295305,10.99238368,10.87409401,10.96837139,5.497887643,5.438754667,5.486597061,283.1122653,276.9897227,168.6009251,135.2929432,132.686534,78.63821226
13.23467515,8.985225214,12.12579592,216.7041439,150.041409,188.1713194,1.95,5.498829194,5.436836702,5.486180614,112.5118923,55.80645697,80.63053031,10.99198028,10.87059559,10.96728794,5.497781275,5.437101538,5.486179663,290.1114528,283.6276413,172.6078853,138.7684119,135.9964576,80.63621327
13.23152415,8.984777361,12.12438494,221.6903211,153.5017343,192.4729047,2,5.498785397,5.435164638,5.485759719,115.2711219,57.20113841,82.62407312,10.99156563,10.86708672,10.96619068,5.497672095,5.435446016,5.485758657,297.101466,290.2455289,176.6069474,142.2390677,139.2963262,82.63020183
13.22835573,8.9843271,12.12295842,226.6625071,156.9564298,196.7654806,2.05,5.49874086,5.433489655,5.485335226,118.0235562,58.59382234,84.61357888,10.99113976,10.86356738,10.96507964,5.497560105,5.4337881,5.485334044,304.0822928,296.843401,180.598107,145.7049044,142.586148,84.62017589
13.22516989,8.983874433,12.1215164,231.620707,160.4054918,201.0490435,2.1,5.498695584,5.431811756,5.484907138,120.7691981,59.98450649,86.59904575,10.99070267,10.86003761,10.96395483,5.497445306,5.432127791,5.484905826,311.0539225,303.4212769,184.5813616,149.1659169,145.8659326,86.60613414
