time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
183.12,9.034947928,6.756937744,8.037775338,1.420045737,1.420045737,1.846689687
183.13,9.034530657,6.755984298,8.037127391,1.419935941,1.419935941,1.846540322
183.14,9.034113411,6.75503106,8.036479515,1.419826104,1.419826104,1.846390932
183.15,9.03369619,6.754078029,8.035831712,1.419716226,1.419716226,1.846241516
183.16,9.033278996,6.753125206,8.035183981,1.419606307,1.419606307,1.846092075
183.17,9.032861826,6.752172591,8.034536322,1.419496347,1.419496347,1.845942608
183.18,9.032444682,6.751220183,8.033888734,1.419386346,1.419386346,1.845793116
183.19,9.032027564,6.750267983,8.033241219,1.419276305,1.419276305,1.845643599
183.2,9.031610471,6.749315991,8.032593776,1.419166223,1.419166223,1.845494057
183.21,9.031193404,6.748364206,8.031946405,1.419056101,1.419056101,1.845344489
183.22,9.030776362,6.747412629,8.031299106,1.418945938,1.418945938,1.845194897
183.23,9.030359345,6.746461259,8.030651879,1.418835734,1.418835734,1.845045279
183.24,9.029942355,6.745510097,8.030004724,1.41872549,1.41872549,1.844895636
183.25,9.029525389,6.744559142,8.029357641,1.418615206,1.418615206,1.844745969
183.26,9.029108449,6.743608395,8.028710629,1.418504881,1.418504881,1.844596276
183.27,9.028691535,6.742657855,8.02806369,1.418394517,1.418394517,1.844446559
183.28,9.028274645,6.741707523,8.027416823,1.418284112,1.418284112,1.844296816
183.29,9.027857782,6.740757398,8.026770028,1.418173666,1.418173666,1.844147049
183.3,9.027440943,6.739807481,8.026123304,1.418063181,1.418063181,1.843997257
183.31,9.027024131,6.738857771,8.025476653,1.417952656,1.417952656,1.84384744
183.32,9.026607343,6.737908268,8.024830073,1.41784209,1.41784209,1.843697599
183.33,9.026190581,6.736958973,8.024183565,1.417731485,1.417731485,1.843547733
183.34,9.025773845,6.736009885,8.02353713,1.417620839,1.417620839,1.843397842
183.35,9.025357134,6.735061005,8.022890766,1.417510154,1.417510154,1.843247927
183.36,9.024940448,6.734112331,8.022244474,1.417399429,1.417399429,1.843097988
183.37,9.024523787,6.733163865,8.021598253,1.417288664,1.417288664,1.842948023
183.38,9.024107152,6.732215607,8.020952105,1.41717786,1.41717786,1.842798035
183.39,9.023690543,6.731267555,8.020306029,1.417067016,1.417067016,1.842648022
